PRECINCT,YEAR,RACE,PRECINCT_TURNOUT,PRECINCT_DEM,ALL_TURNOUT,ALL_DEM
46,2017,Governor,0.5226391458127506,0.8327222311111053,0.59,0.8240047490974292
46,2018,US Senate,0.6611250090697808,0.8666474178083421,0.71,0.8602390375334327
46,2019,VA Senate,0.27768133641568726,1.0,0.37,0.9617854594466028
46,2020,President,0.6541464736004847,0.9166559824191334,0.79,0.9267225408028231
46,2021,Governor,0.5536830656565634,0.8065073263895686,0.62,0.8313795903429819
46,2022,House,0.49551381195184746,0.7873443983402489,0.56,0.7904513531443735
47,2017,Governor,0.590610672613694,0.8907361529621466,0.59,0.8240047490974292
47,2018,US Senate,0.6949667201098886,0.906404429127215,0.71,0.8602390375334327
47,2019,VA Senate,0.3530847041574927,1.0,0.37,0.9617854594466028
47,2020,President,0.690855201659886,0.9253653614737335,0.79,0.9267225408028231
47,2021,Governor,0.5706256086569415,0.8586035973850252,0.62,0.8313795903429819
47,2022,House,0.5258601399680559,0.8266228430566968,0.56,0.7904513531443735
48,2017,Governor,0.5346298853039632,0.8172739209382568,0.59,0.8240047490974292
48,2018,US Senate,0.7058911955029603,0.845437846202042,0.71,0.8602390375334327
48,2019,VA Senate,0.2732573774548913,1.0,0.37,0.9617854594466028
48,2020,President,0.8582764205740941,0.9515027296518455,0.79,0.9267225408028231
48,2021,Governor,0.6092531666085556,0.8394459076095979,0.62,0.8313795903429819
48,2022,House,0.5628900325700504,0.768904593639576,0.56,0.7904513531443735
49,2017,Governor,0.5618071520607707,0.8475514687967785,0.59,0.8240047490974292
49,2018,US Senate,0.6735182630847024,0.8851342311670988,0.71,0.8602390375334327
49,2019,VA Senate,0.33946550302808076,1.0,0.37,0.9617854594466028
49,2020,President,0.6957340350742469,0.9248127592260399,0.79,0.9267225408028231
49,2021,Governor,0.5581383993890271,0.8177784973323715,0.62,0.8313795903429819
49,2022,House,0.4963220423314136,0.8045234248788369,0.56,0.7904513531443735
50,2017,Governor,0.4682922570879639,0.7776632942201626,0.59,0.8240047490974292
50,2018,US Senate,0.6283081421964207,0.8262103722560535,0.71,0.8602390375334327
50,2019,VA Senate,0.26038434361618223,1.0,0.37,0.9617854594466028
50,2020,President,0.5949158810452757,0.8957507611740636,0.79,0.9267225408028231
50,2021,Governor,0.5085112479992264,0.7982763772156788,0.62,0.8313795903429819
50,2022,House,0.4377739932978081,0.758257203092059,0.56,0.7904513531443735
51,2017,Governor,0.6186023836603607,0.7770975264656018,0.59,0.8240047490974292
51,2018,US Senate,0.7600952700346567,0.7960100535323934,0.71,0.8602390375334327
51,2019,VA Senate,0.418574479100806,1.0,0.37,0.9617854594466028
51,2020,President,0.6553618658211767,0.846126484587785,0.79,0.9267225408028231
51,2021,Governor,0.6906945846655882,0.8251719767405606,0.62,0.8313795903429819
51,2022,House,0.6255045871559634,0.811088295687885,0.56,0.7904513531443735
52,2017,Governor,0.4831330029949888,0.8250222450641053,0.59,0.8240047490974292
52,2018,US Senate,0.6318547118466682,0.8648333547869601,0.71,0.8602390375334327
52,2019,VA Senate,0.2420182502188746,1.0,0.37,0.9617854594466028
52,2020,President,0.48921697391948743,0.8846100276121525,0.79,0.9267225408028231
52,2021,Governor,0.47227800947020443,0.826211120066708,0.62,0.8313795903429819
52,2022,House,0.39011177027839916,0.7859358841778697,0.56,0.7904513531443735
53,2017,Governor,0.5497493243546882,0.8122466586143225,0.59,0.8240047490974292
53,2018,US Senate,0.7045017639673498,0.8399991857500646,0.71,0.8602390375334327
53,2019,VA Senate,0.33019142869970247,1.0,0.37,0.9617854594466028
53,2020,President,0.572783465536927,0.8818815509257,0.79,0.9267225408028231
53,2021,Governor,0.5569273742388868,0.8087091775306843,0.62,0.8313795903429819
53,2022,House,0.472369861313292,0.7759197324414716,0.56,0.7904513531443735
54,2017,Governor,0.5341902482440631,0.8258935787639848,0.59,0.8240047490974292
54,2018,US Senate,0.6828213585933496,0.8859726997587716,0.71,0.8602390375334327
54,2019,VA Senate,0.3160620904902264,1.0,0.37,0.9617854594466028
54,2020,President,0.6715084209249744,0.9258391109549822,0.79,0.9267225408028231
54,2021,Governor,0.5837597522820172,0.8302728087019028,0.62,0.8313795903429819
54,2022,House,0.47788702842802483,0.8154269972451791,0.56,0.7904513531443735
